Campaign,Ad Group,Keyword,Criterion Type,Status,Final URL
Search | High Intent | BR,AG01 | Perita Judicial – Eng Química,perita judicial engenharia química,Exact,Enabled,https://adrianarezende.com.br/sobre/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia contaminação alimentar,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perito contaminação alimentos,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,laudo contaminação alimento,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia judicial alimentos contaminados,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,laudo pericial alimento contaminado,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia corpo estranho alimento,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perito engenharia de alimentos,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia alimento impróprio consumo,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia técnica indústria alimentícia,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,laudo técnico segurança alimentar judicial,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia autuação vigilância sanitária,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,assistente técnico alimento contaminado,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia recall alimentos,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia adulteração de alimentos,Phrase,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG04 | Perícia Alimentos,perícia ração animal contaminada,Exact,Enabled,https://adrianarezende.com.br/pericia-contaminacao-alimentos/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,laudo técnico classificação fiscal,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,laudo técnico ncm,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,laudo merceológico,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,laudo merceológico importação,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,análise merceológica produto,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,perícia classificação fiscal,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,parecer técnico ncm,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,parecer técnico classificação fiscal,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,contestar classificação fiscal receita federal,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,impugnação auto de infração classificação fiscal,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,laudo para reclassificação fiscal,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,perito classificação fiscal ncm,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,assistente técnico auto de infração aduaneiro,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,laudo técnico para contestar ncm,Phrase,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG05 | Classificação Fiscal NCM,perícia técnica classificação mercadoria,Exact,Enabled,https://adrianarezende.com.br/classificacao-fiscal-ncm/
Search | High Intent | BR,AG06 | Impugnação de Laudo,impugnação laudo pericial engenharia química,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,impugnar laudo pericial químico,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,contestar laudo pericial engenharia química,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,impugnar laudo pericial alimentos,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,análise crítica laudo pericial químico,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,parecer contra laudo pericial químico,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,assistente técnico para impugnar laudo,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,contestar laudo perícia judicial química,Phrase,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,refutar laudo pericial técnico,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG06 | Impugnação de Laudo,erro metodológico laudo pericial,Exact,Enabled,https://adrianarezende.com.br/assistente-tecnica/#impugnacao-laudos
Search | High Intent | BR,AG07 | Perícia Ambiental,perícia ambiental contaminação solo,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,perícia contaminação solo e água,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,perito contaminação química ambiental,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,perícia passivo ambiental industrial,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,laudo técnico contaminação solo industrial,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,perícia judicial contaminação ambiental industrial,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,assistente técnico perícia ambiental industrial,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,perícia efluentes industriais,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,laudo técnico resíduos perigosos,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG07 | Perícia Ambiental,perícia aterro sanitário,Exact,Enabled,https://adrianarezende.com.br/pericia-ambiental/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,perícia adulteração combustível,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,laudo adulteração combustível,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,perícia contaminação combustível,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,perito combustível adulterado,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,laudo técnico qualidade combustível,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,perícia judicial posto de combustível,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,assistente técnico adulteração combustível,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,perícia conformidade anp,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,laudo pericial combustível,Exact,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
Search | High Intent | BR,AG08 | Adulteração Combustíveis,perícia qualidade combustível judicial,Phrase,Enabled,https://adrianarezende.com.br/pericia-combustiveis/
